# メインの対照表。
# 以下は複数の既存の対照表を参考にして個人の主観で妥当そうな変換をしている文字の組を抽出したリスト。
変換前	変換後
丑	醜
专	専
业	業
丛	叢
东	東
丝	絲
两	両
严	厳
丧	喪
个	個
丰	豊
临	臨
为	為
丽	麗
举	挙
么	麼
义	義
乌	烏
乐	楽
乔	喬
乘	乗
习	習
乡	郷
书	書
买	買
亏	虧
云	雲
亚	亜
产	産
亩	畝
亲	親
亿	億
仅	僅
仆	僕
从	従
仑	侖
仓	倉
仞	仭
仪	儀
们	們
价	価
仿	倣
众	衆
优	優
伛	傴
伞	傘
伟	偉
传	伝
伤	傷
伦	倫
伪	偽
伫	佇
佛	仏
佣	傭
佥	僉
侄	姪
侣	侶
侥	僥
侦	偵
侧	側
侨	僑
侪	儕
俊	儁
俞	兪
俦	儔
俨	厳
俩	倆
俭	倹
俭	儉
俱	倶
债	債
值	値
倾	傾
假	仮
偷	偸
偻	僂
偿	償
傥	儻
储	儲
傩	儺
儿	児
兑	兌
兔	兎
兰	蘭
关	関
兴	興
兹	茲
养	養
兽	獣
冈	岡
册	冊
军	軍
农	農
冢	塚
冯	馮
冰	氷
冱	沍
冲	衝
决	決
况	況
冻	凍
净	浄
准	準
凉	涼
减	減
凑	湊
几	幾
凤	鳳
凫	鳧
凭	憑
凯	凱
击	撃
凿	鑿
刍	芻
划	劃
刘	劉
则	則
刚	剛
创	創
删	刪
别	別
刭	剄
剀	剴
剂	剤
剑	剣
剧	劇
剩	剰
剿	勦
劝	勧
务	務
动	動
劲	勁
劳	労
势	勢
勋	勲
勖	勗
匮	匱
卅	丗
升	昇
华	華
协	協
单	単
卖	売
卢	盧
卤	鹵
卧	臥
卫	衛
卷	巻
厂	廠
厅	庁
历	暦
压	圧
厌	厭
厕	廁
厢	廂
厦	廈
厮	廝
县	県
县	縣
发	発
变	変
叠	畳
叹	嘆
吕	呂
吞	呑
吨	噸
听	聴
启	啓
吴	呉
呐	吶
呒	嘸
呓	囈
呕	嘔
呗	唄
员	員
呜	嗚
咏	詠
咒	呪
咛	嚀
咨	諮
咸	鹹
咽	嚥
响	響
哑	唖
哗	譁
唤	喚
唧	喞
啧	嘖
啬	嗇
啭	囀
啮	噛
啸	嘯
喷	噴
喻	喩
嗫	囁
嘤	嚶
噪	譟
嚣	囂
囊	嚢
团	団
园	園
围	囲
图	図
圆	円
圈	圏
圣	聖
圹	壙
场	場
址	阯
坏	壊
块	塊
坚	堅
坛	壇
坞	塢
坟	墳
坠	墜
垄	壟
垒	塁
垦	墾
埘	塒
埚	堝
堇	菫
堑	塹
墙	墻
增	増
壤	壌
壳	殻
壶	壺
壹	壱
处	処
备	備
复	復
头	頭
夸	誇
夹	夾
夺	奪
奁	匳
奂	奐
奋	奮
奖	奨
妆	粧
妇	婦
妈	媽
妒	妬
妪	嫗
姊	姉
姜	薑
姬	姫
娄	婁
娇	嬌
娱	娯
娴	嫺
婴	嬰
媪	媼
嫔	嬪
孙	孫
宁	寧
实	実
宠	寵
审	審
宪	憲
宽	寛
宾	賓
对	対
寻	尋
导	導
尔	爾
尘	塵
尝	嘗
尧	尭
层	層
屿	嶼
岁	歳
岂	豈
岗	崗
岚	嵐
岛	島
