# 以下はメインの対照表を使っても変換できていなかった文字のリスト。
# このリストには個人の主観が特に強く反映されている。
# 個人の主観というのは例えばある資料によると「剁」は「刹」に対応しているとされるらしいが、
# 「剁」は「切り刻む」という意味の文字で、一方「刹」は「寺院」という意味の文字であるため個人的に同じ文字とは認め難いから変換しない、
# という様な判断が混入しているという意味である。
# また判断が非常に難しかったが結局除外したものについてはコメントアウトして残した。
# なおこのリストには繁体字も混ざっているが、中国の大部分が簡体字で書かれている文章でこれらの文字が実際に使われていたので変換対象にした。
変換前	変換後
# 后	後
㸑	爨
丢	丟
亵	褻
份	分
伥	倀
僣	僭
內	内
刿	劌
剐	剮
办	辦
匀	均
厉	厲
叁	参
叽	嘰
吓	嚇
吗	嗎
哒	噠
哕	噦
哝	噥
哟	喲
唢	嗩
啰	囉
喽	嘍
噜	嚕
囵	圇
國	国
垆	壚
垫	墊
垲	塏
埙	塤
够	夠
妩	嫵
姗	姍
娅	婭
娆	嬈
娲	媧
婵	嬋
婶	嬸
宫	宮
尴	尷
屉	屜
屦	屨
岖	嶇
岿	巋
峤	嶠
嵘	嶸
帻	幘
帼	幗
庑	廡
忰	倅
怼	懟
恺	愷
惫	憊
惬	愜
愠	慍
戗	戧
抡	掄
拢	攏
拦	攔
挡	擋
挣	掙
捡	撿
掳	擄
掺	摻
掼	摜
搀	攙
搂	摟
撄	攖
撑	撐
撵	攆
撷	擷
撺	攛
擞	擻
攝	摂
敛	㪘
斓	斕
旸	暘
枨	棖
柜	櫃
桩	樁
檩	檁
殁	歿
每	毎
氲	氳
沤	漚
泾	涇
涝	澇
渌	淥
炜	煒
烨	燁
烩	燴
烫	燙
焊	銲
焖	燜
犷	獷
狰	猙
猕	獼
猡	玀
玑	璣
珏	玨
瓯	甌
疖	癤
疠	癘
痪	瘓
痹	痺
瘫	癱
睁	睜
睐	睞
瞩	矚
砗	硨
碰	踫
秾	穠
稣	穌
箓	籙
箩	籮
纨	紈
纫	紉
纮	紘
纻	紵
纾	紓
绉	縐
绑	綁
绛	絳
绡	綃
绦	絛
缂	緙
缈	緲
缡	縭
缣	縑
缫	繅
缰	韁
缴	繳
罴	羆
聩	聵
肮	骯
胧	朧
腊	臘
膑	臏
苌	萇
荦	犖
荧	熒
萦	縈
蒌	蔞
虾	蝦
蚂	螞
蚝	蠔
蛏	蟶
蛱	蛺
蝈	蟈
觎	覦
觑	覷
诓	誆
诩	詡
诶	誒
谲	譎
账	賬
赃	贓
赅	賅
赊	賒
赕	賧
赶	趕
跷	蹺
跹	躚
跻	躋
蹿	躥
逦	邐
邓	鄧
郦	酈
钥	鑰
钴	鈷
铍	鈹
铐	銬
铡	鍘
铤	鋌
铩	鎩
铲	鏟
链	鏈
锉	銼
锏	鐧
镔	鑌
镕	鎔
镖	鏢
镬	鑊
镯	鐲
镳	鑣
镶	鑲
闳	閎
闽	閩
阂	閡
阊	閶
阗	闐
附	付
陉	陘
韧	韌
韫	韞
颀	頎
颌	頜
颗	顆
饪	飪
馋	饞
馐	饈
骊	驪
骑	騎
骧	驤
髌	髕
鲊	鮓
鲐	鮐
鲙	鱠
鲟	鱘
鲠	鯁
鲢	鰱
鲥	鰣
鲫	鯽
鳊	鯿
鸮	鴞
鹌	鵪
鹖	鶡
鹘	鶻
鹜	鶩
